"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
0.000140998682159089,0.365958636785123,0.888,0.832,1,"2","EGLN1","AVC"
0.000142264546729692,0.33372772169048,0.876,0.741,1,"2","CASZ1","AVC"
0.00014982388091803,0.573816254329431,0.516,0.366,1,"2","FZD8","AVC"
0.00015560161760687,0.481238234205635,0.702,0.579,1,"2","FASTKD1","AVC"
0.000162698693019682,0.353407080711182,0.845,0.776,1,"2","DCAF6","AVC"
0.000166995046147797,0.316823581709278,0.907,0.819,1,"2","ATP5PB","AVC"
0.000168565140116229,0.323576870721233,0.876,0.788,1,"2","CHCHD10","AVC"
0.000181535314014491,0.362194881528075,0.745,0.572,1,"2","ADAMTSL4","AVC"
0.000184179843345667,0.395042115822668,0.758,0.633,1,"2","RBMS3","AVC"
0.000187291547777945,0.400424017179056,0.758,0.631,1,"2","ACSL4","AVC"
0.000189319139403643,0.553538492312204,0.615,0.477,1,"2","OSTF1","AVC"
0.000217983135545767,0.336919049779759,0.925,0.791,1,"2","SLC2A1","AVC"
0.000221397731629061,0.495266156110827,0.752,0.644,1,"2","BAG2","AVC"
0.000230693155318888,0.303604722000361,0.882,0.849,1,"2","TCEAL8","AVC"
0.000230840592412482,0.374459733845508,0.919,0.8,1,"2","ARMH4","AVC"
0.000236553450679848,0.365236174740246,0.863,0.776,1,"2","RTRAF","AVC"
0.000240894457374832,0.746641627154192,0.373,0.24,1,"2","ASL","AVC"
0.000240978503045598,0.878215221786301,0.348,0.213,1,"2","HRH2","AVC"
0.000242620536043644,0.687187259979254,0.59,0.493,1,"2","FGF11","AVC"
0.000248750022773532,0.333416528389069,0.907,0.857,1,"2","ETFA","AVC"
0.000249161768142699,0.423022792326642,0.671,0.528,1,"2","S1PR1","AVC"
0.000249724338406388,0.668286571512668,0.354,0.228,1,"2","SERPINE2","AVC"
0.000251353254629386,0.348410290676902,0.863,0.758,1,"2","UBXN6","AVC"
0.00026975319407185,0.401281811940581,0.764,0.623,1,"2","METTL5","AVC"
0.000270909251329164,0.295312434647514,0.882,0.809,1,"2","ADGRB2","AVC"
0.000276799973478742,0.263431329502352,0.907,0.867,1,"2","SDC3","AVC"
0.000283306456955998,0.289206761647349,0.845,0.688,1,"2","DPF3","AVC"
0.000284189408794908,0.408980401573286,0.789,0.691,1,"2","THOC7","AVC"
0.000286548149083371,0.388151750464917,0.745,0.605,1,"2","DPH3","AVC"
0.000294044984786901,0.794804234887962,0.329,0.201,1,"2","GCLM","AVC"
0.000296651130596367,0.421486631648676,0.807,0.726,1,"2","VDAC1","AVC"
0.000302054216342215,0.35927582450299,0.72,0.589,1,"2","KLHL31","AVC"
0.000304643904281959,0.36696967583784,0.602,0.442,1,"2","CC2D2A","AVC"
0.00031508064975806,0.51169963310893,0.677,0.542,1,"2","ACADSB","AVC"
0.000331397494123905,0.282226424705198,0.981,0.931,1,"2","RBFOX2","AVC"
0.000332078215114685,0.649324901238249,0.335,0.205,1,"2","AHNAK2","AVC"
0.00034331144890214,0.395296271975459,0.857,0.763,1,"2","MCRS1","AVC"
0.000349034347943353,0.29653231275476,0.739,0.551,1,"2","ANXA2","AVC"
0.000357849370654888,0.875700197344138,0.422,0.304,1,"2","FABP5","AVC"
0.00035833989754852,0.935923910915914,0.422,0.291,1,"2","DES","AVC"
0.000366017050582647,0.278127757388082,0.919,0.846,1,"2","DYRK2","AVC"
0.000377272270441312,0.318764340189537,0.826,0.744,1,"2","DDT","AVC"
0.000378210097411708,0.571177851221223,0.683,0.598,1,"2","ACACA","AVC"
0.000385144601106887,0.581316279207245,0.553,0.42,1,"2","KCNMB4","AVC"
0.000394747758116192,0.267957401118716,0.957,0.905,1,"2","RHOC","AVC"
0.000412071415413338,0.641420458687564,0.36,0.234,1,"2","REC8","AVC"
0.000424750307992428,0.361468426409206,0.708,0.534,1,"2","KCNQ5","AVC"
0.000426999812921154,0.487620028635585,0.658,0.527,1,"2","MPC1","AVC"
0.000436121063901419,0.441701841563772,0.72,0.573,1,"2","CIB1","AVC"
0.00044844562827408,0.432991990021284,0.714,0.589,1,"2","MSRB3","AVC"
0.000458725951161675,0.390530557703401,0.77,0.698,1,"2","DCUN1D5","AVC"
0.000477991070167772,0.582434797112658,0.522,0.387,1,"2","PDE6B","AVC"
0.000492489032684157,0.34569581612245,0.87,0.76,1,"2","UQCC1","AVC"
0.00049746164297046,0.410673987911224,0.733,0.639,1,"2","OXCT1","AVC"
0.00050299216402299,0.372494462171359,0.839,0.768,1,"2","PRKAG2","AVC"
0.000504615065102157,0.51780080740061,0.658,0.589,1,"2","SLIT2","AVC"
0.00052695165226503,0.680571901118786,0.36,0.236,1,"2","PPFIBP2","AVC"
0.000528869667630228,0.948449588485985,0.304,0.188,1,"2","CEBPB","AVC"
0.000595943644271249,0.618065806921047,0.578,0.435,1,"2","LIMD1","AVC"
0.000598664351174193,0.673174602695272,0.453,0.334,1,"2","FAM83H","AVC"
0.000620403701137096,0.382948221292933,0.739,0.642,1,"2","MBD2","AVC"
0.000626144112466985,0.35922345355117,0.72,0.615,1,"2","TRPT1","AVC"
0.000648651341505778,0.271238053290817,0.957,0.913,1,"2","COPB2","AVC"
0.000669741261726123,0.791665662867094,0.267,0.154,1,"2","KLF8","AVC"
0.000679557635105298,0.299516748539848,0.907,0.805,1,"2","CCNG1","AVC"
0.000684904857407502,0.434625704747296,0.689,0.596,1,"2","FAM126A","AVC"
0.000727927677093111,0.663584386194856,0.441,0.322,1,"2","GTF3A","AVC"
0.000751522305987205,0.522343050850381,0.621,0.486,1,"2","CRPPA","AVC"
0.000797828141007975,0.36670113626408,0.845,0.74,1,"2","UBE2J1","AVC"
0.000823210454868657,0.272736265150748,0.932,0.843,1,"2","FBXO7","AVC"
0.000833220723597198,0.385101918129382,0.776,0.728,1,"2","COX7B","AVC"
0.000886960437023999,0.317533127646484,0.894,0.836,1,"2","MAP2K1","AVC"
0.000905464938707875,0.467135092645895,0.733,0.622,1,"2","AP3M1","AVC"
0.000927087827433483,0.393833510794525,0.453,0.313,1,"2","S100A11","AVC"
0.000936024293935244,0.362347943396603,0.87,0.774,1,"2","NDUFB1","AVC"
0.000948117552170894,0.608513930367763,0.646,0.529,1,"2","TRIM63","AVC"
0.000960626278572005,0.383554223889752,0.739,0.631,1,"2","NSF","AVC"
0.000988996064202838,0.551999604156191,0.453,0.329,1,"2","COQ10A","AVC"
0.000991702395990808,0.349974897532634,0.758,0.659,1,"2","PRDX3","AVC"
0.000997065929136881,0.287433548211645,0.857,0.797,1,"2","CNOT11","AVC"
0.00100321053591626,0.38911221490526,0.745,0.621,1,"2","AKAP13","AVC"
0.00100906992497414,0.306020930547188,0.932,0.845,1,"2","HAS2","AVC"
0.00101438363199432,0.442241656264012,0.615,0.499,1,"2","LOXL1","AVC"
0.00104421029729398,0.387032970933582,0.745,0.602,1,"2","FXYD1","AVC"
0.00104624816397848,0.853399129033275,0.354,0.247,1,"2","VAT1L","AVC"
0.00105663399831277,0.343049492058564,0.814,0.734,1,"2","EPS15","AVC"
0.00106160463710961,0.297146371079312,0.72,0.613,1,"2","GNB4","AVC"
0.0010619116958929,0.408304636105139,0.807,0.74,1,"2","TOB1","AVC"
0.00108690682071663,0.330909521843214,0.888,0.806,1,"2","ACADM","AVC"
0.00108763943417959,0.284683539978135,0.882,0.815,1,"2","USO1","AVC"
0.00111808933557486,0.529408082446333,0.609,0.502,1,"2","ZFPM2","AVC"
0.00112642431901235,0.276434221345958,0.925,0.857,1,"2","NDUFAB1","AVC"
0.00113214937829308,0.450454240301203,0.714,0.64,1,"2","USP2","AVC"
0.00113573319115604,0.66279327934257,0.311,0.195,1,"2","CCDC160","AVC"
0.00113907397282206,0.372912971017068,0.764,0.664,1,"2","NUDCD2","AVC"
0.00117632105056846,0.470255106828178,0.665,0.585,1,"2","HADH","AVC"
0.00123186516335966,0.511976319272884,0.671,0.578,1,"2","ABCB7","AVC"
0.0012505405257469,0.505169462309763,0.453,0.33,1,"2","NXPE3","AVC"
0.00125066938701345,0.271120427717653,0.739,0.598,1,"2","TSPAN2","AVC"
0.00126818389084662,0.898462009818027,0.416,0.308,1,"2","TAGLN","AVC"
0.00131906229095583,0.372981167663269,0.814,0.71,1,"2","FKBP3","AVC"
0.00135107953979249,0.276936500452495,0.845,0.774,1,"2","NDUFS5","AVC"
0.00136053840126832,0.724590698376794,0.366,0.247,1,"2","MAGI3","AVC"
0.00136631124820011,0.27188165688638,0.907,0.903,1,"2","PRDX6","AVC"
0.00137459868290962,0.441403595861386,0.609,0.483,1,"2","SPSB4","AVC"
0.00141492340249597,0.400478610245464,0.602,0.477,1,"2","SYNPO2L","AVC"
0.0014488451976548,0.30952904529972,0.702,0.579,1,"2","PPP2R5C","AVC"
0.00145883717788314,0.558926520944896,0.596,0.492,1,"2","ARL15","AVC"
0.00147067578593836,0.385596626228811,0.752,0.666,1,"2","PAIP1","AVC"
0.00149429130405927,0.254544011178855,0.913,0.901,1,"2","NDUFB10","AVC"
0.00151838267628884,0.446629379735817,0.652,0.526,1,"2","SETBP1","AVC"
0.00152984832287781,0.256812387364231,0.807,0.721,1,"2","HACD1","AVC"
0.00153362199412656,0.371588396195604,0.826,0.729,1,"2","NUDT5","AVC"
0.00162640054442946,0.447318224673018,0.522,0.392,1,"2","FBXO28","AVC"
0.00165920613741234,0.458619746231832,0.298,0.181,1,"2","SYTL5","AVC"
0.00167881728762381,0.363510692168988,0.776,0.735,1,"2","RNF11","AVC"
